inchikey,smiles,name,T_K,dielectric,uncertainty,uncertainty_value,uncertainty_kind,confidence_level,uncertainty_json,source_doi,source_dois_all,n_observations,n_historical_observations,source_scope,crosscheck_available,gate_flags,source_record_id,source_page,source_quality,selection_rank,structure_resolution_source,al_round1_hit,max_tanimoto_solvfunc
XNWFRZJHXBZDAG-UHFFFAOYSA-N,COCCO,2-Methoxyethanol,303.15,16.0,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p19:003,19,three_figures,9,pubchem,false,0.000000
SWXVUIWOUIDPGS-UHFFFAOYSA-N,CC(=O)CC(C)(C)O,4-Hydroxy-4-methyl-2-pentanone (Diacetone alcohol),298.15,18.2,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p29:002,29,three_figures,10,pubchem,false,0.000000
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Acetone,298.15,20.70,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p18:006,18,four_figures,11,pubchem,false,0.000000
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,Ethyl ether,293.15,4.335,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p22:002,22,four_figures,12,pubchem,false,0.000000
XNLICIUVMPYHGG-UHFFFAOYSA-N,CCCC(C)=O,2-Pentanone,293.15,15.45,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:020,23,four_figures,13,pubchem,false,0.000000
FDPIMTJIUBPUKL-UHFFFAOYSA-N,CCC(=O)CC,3-Pentanone,293.15,17.00,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:021,23,four_figures,14,pubchem,false,0.000000
NTIZESTWPVYFNL-UHFFFAOYSA-N,CC(=O)CC(C)C,4-Methyl-2-pentanone,293.15,13.11,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p28:015,28,four_figures,15,pubchem,false,0.000000
JFDZBHWFFUWGJE-UHFFFAOYSA-N,N#Cc1ccccc1,Benzonitrile,298.15,25.20,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p30:004,30,four_figures,16,pubchem,false,0.000000
DTQVDTLACAAQTR-UHFFFAOYSA-N,O=C(O)C(F)(F)F,Trifluoroacetic acid,293.15,39.5,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p14:009,14,three_figures,17,pubchem,false,0.000000
HEBKCHPVOIAQTA-NGQZWQHPSA-N,OC[C@@H](O)C(O)[C@@H](O)CO,Xylitol,293.15,40.0,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:004,25,three_figures,18,pubchem,false,0.000000
NVJBFARDFTXOTO-UHFFFAOYSA-N,CCOS(=O)OCC,Ethyl sulfite,293.15,15.9,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p22:007,22,three_figures,19,pubchem,false,0.000000
SQYNKIJPMDEDEG-UHFFFAOYSA-N,CC1OC(C)OC(C)O1,Paraldehyde,298.15,13.9,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p29:004,29,three_figures,20,pubchem,false,0.000000
WFCLYEAZTHWNEH-UHFFFAOYSA-N,CCSC#N,Ethyl thiocyanate,294.15,29.3,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p17:016,17,three_figures,21,pubchem,false,0.000000
YPFDHNVEDLHUCE-UHFFFAOYSA-N,OCCCO,"1,3-Propanediol",293.15,35.0,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p19:002,19,three_figures,22,pubchem,false,0.000000
FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,Butyric acid,293.15,2.97,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p20:020,20,three_figures,23,pubchem,false,0.000000
YNAVUWVOSKDBBP-UHFFFAOYSA-N,C1COCCN1,Morpholine,298.15,7.33,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p21:011,21,three_figures,24,pubchem,false,0.000000
WERYXYBDKMZEQL-UHFFFAOYSA-N,OCCCCO,"1,4-Butanediol",303.15,30.2,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p22:005,22,three_figures,25,pubchem,false,0.000000
SPEUIVXLLWOEMJ-UHFFFAOYSA-N,COC(C)OC,"1,1-Dimethoxyethane",293.15,3.49,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p22:006,22,three_figures,26,pubchem,false,0.000000
NQPDZGIKBAWPEJ-UHFFFAOYSA-N,CCCCC(=O)O,Valeric acid,293.15,2.66,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:023,23,three_figures,27,pubchem,false,0.000000
GWYFCOCPABKNJV-UHFFFAOYSA-N,CC(C)CC(=O)O,Isovaleric acid,293.15,2.64,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:024,23,three_figures,28,pubchem,false,0.000000
ISPYQTSUDJAMAB-UHFFFAOYSA-N,Oc1ccccc1Cl,o-Chlorophenol,298.15,6.31,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p26:004,26,three_figures,29,pubchem,false,0.000000
SVTBMSDMJJWYQN-UHFFFAOYSA-N,CC(O)CC(C)(C)O,"2-Methyl-2,4-pentanediol",303.15,24.4,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p29:011,29,three_figures,30,pubchem,false,0.000000
DHKHKXVYLBGOIT-UHFFFAOYSA-N,CCOC(C)OCC,"1,1-Diethoxyethane",298.15,3.80,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p29:012,29,three_figures,31,pubchem,false,0.000000
QJPJQTDYNZXKQF-UHFFFAOYSA-N,COc1ccc(Br)cc1,p-Bromoanisole,303.15,7.06,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p30:010,30,three_figures,32,pubchem,false,0.000000
WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,Acetonitrile,293.15,37.5,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p15:003,15,three_figures,33,pubchem,false,0.000000
LCGLNKUTAGEVQW-UHFFFAOYSA-N,COC,Methyl ether,298.15,5.02,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p16:008,16,three_figures,34,pubchem,false,0.000000
FVSKHRXBFJPNKK-UHFFFAOYSA-N,CCC#N,Propionitrile,293.15,27.2,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p17:014,17,three_figures,35,pubchem,false,0.000000
NKKMVIVFRUYPLQ-NSCUHMNNSA-N,C/C=C/C#N,Crotononitrile (bp 108 C),293.15,36.1,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p19:014,19,three_figures,36,pubchem,false,0.000000
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,2-Butanone,293.15,18.51,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p20:018,20,three_figures,37,pubchem,false,0.000000
XCIXKGXIYUWCLL-UHFFFAOYSA-N,OC1CCCC1,Cyclopentanol,293.15,18.0,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:019,23,three_figures,38,pubchem,false,0.000000
PHTQWCKDNZKARW-UHFFFAOYSA-N,CC(C)CCO,3-Methyl-1-butanol,298.15,14.7,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:002,25,three_figures,39,pubchem,false,0.000000
MSXVEPNJUHWQHW-UHFFFAOYSA-N,CCC(C)(C)O,2-Methyl-2-butanol,298.15,5.82,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:003,25,three_figures,40,pubchem,false,0.000000
POLCUAVZOMRGSN-UHFFFAOYSA-N,CCCOCCC,Propyl ether,299.15,3.39,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p29:009,29,three_figures,41,pubchem,false,0.000000
ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,CC(C)OC(C)C,Isopropyl ether,298.15,3.88,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p29:010,29,three_figures,42,pubchem,false,0.000000
WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccccc1,Benzyl alcohol,293.15,13.1,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p31:005,31,three_figures,43,pubchem,false,0.000000
QWVGKYWNOKOFNN-UHFFFAOYSA-N,Cc1ccccc1O,o-Cresol,298.15,11.5,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p31:006,31,three_figures,44,pubchem,false,0.000000
RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,m-Cresol,298.15,11.8,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p31:007,31,three_figures,45,pubchem,false,0.000000
RDOXTESZEPMUJZ-UHFFFAOYSA-N,COc1ccccc1,Methoxybenzene (Anisole),298.15,4.33,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p31:008,31,three_figures,46,pubchem,false,0.000000
LFSAPCRASZRSKS-UHFFFAOYSA-N,CC1CCCCC1=O,2-Methylcyclohexanone,293.15,14.0,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p32:001,32,three_figures,47,pubchem,false,0.000000
UJBOOUHRTQVGRU-UHFFFAOYSA-N,CC1CCCC(=O)C1,3-Methylcyclohexanone,293.15,12.4,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p32:002,32,three_figures,48,pubchem,false,0.000000
VGVHNLRUAMRIEW-UHFFFAOYSA-N,CC1CCC(=O)CC1,4-Methylcyclohexanone,293.15,12.4,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p32:003,32,three_figures,49,pubchem,false,0.000000
NDVWOBYBJYUSMF-UHFFFAOYSA-N,CC1CCCCC1O,2-Methylcyclohexanol,293.15,13.3,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p32:013,32,three_figures,50,pubchem,false,0.000000
HTSABYAWKQAHBT-UHFFFAOYSA-N,CC1CCCC(O)C1,3-Methylcyclohexanol,293.15,12.3,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p32:014,32,three_figures,51,pubchem,false,0.000000
MQWCXKGKQLNYQG-UHFFFAOYSA-N,CC1CCC(O)CC1,4-Methylcyclohexanol,293.15,13.3,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p32:015,32,three_figures,52,pubchem,false,0.000000
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,Carbon disulfide,293.15,2.641,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p13:004,13,four_figures,53,pubchem,false,0.000000
LCZUOKDVTBMCMX-UHFFFAOYSA-N,Cc1cnc(C)cn1,"2,5-Dimethylpyrazine",293.15,2.436,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p27:002,27,four_figures,54,pubchem,false,0.000000
MVPPADPHJFYWMZ-UHFFFAOYSA-N,Clc1ccccc1,Chlorobenzene,298.15,5.621,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p26:002,26,four_figures,55,pubchem,false,0.000000
YWAKXRMUMFPDSH-UHFFFAOYSA-N,C=CCCC,1-Pentene,293.15,2.100,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:012,23,four_figures,56,pubchem,false,0.000000
MHNNAWXXUZQSNM-UHFFFAOYSA-N,C=C(C)CC,2-Methyl-1-butene,293.15,2.197,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:013,23,four_figures,57,pubchem,false,0.000000
RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,Cyclopentane,293.15,1.965,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:014,23,four_figures,58,pubchem,false,0.000000
FOTXAJDDGPYIFU-UHFFFAOYSA-N,CCC1CC1,Ethylcyclopropane,293.15,1.933,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:015,23,four_figures,59,pubchem,false,0.000000
OFBQJSOFQDEBGM-UHFFFAOYSA-N,CCCCC,n-Pentane,293.15,1.844,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p24:020,24,four_figures,60,pubchem,false,0.000000
QWTDNUCVQCZILF-UHFFFAOYSA-N,CCC(C)C,2-Methylbutane,293.15,1.843,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p24:021,24,four_figures,61,pubchem,false,0.000000
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,Benzene,293.15,2.284,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p26:008,26,four_figures,62,pubchem,false,0.000000
HGCIXCUEYOPUTN-UHFFFAOYSA-N,C1=CCCCC1,Cyclohexene,298.15,2.220,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p27:005,27,four_figures,63,pubchem,false,0.000000
GDOPTJXRTPNYNR-UHFFFAOYSA-N,CC1CCCC1,Methylcyclopentane,293.15,1.985,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p28:008,28,four_figures,64,pubchem,false,0.000000
NEZRFXZYPAIZAD-UHFFFAOYSA-N,CCC1CCC1,Ethylcyclobutane,293.15,1.965,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p28:009,28,four_figures,65,pubchem,false,0.000000
ZQDPJFUHLCOCRG-WAYWQWQTSA-N,CC/C=C\CC,cis-3-Hexene,298.15,2.062,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p28:010,28,four_figures,66,pubchem,false,0.000000
ZQDPJFUHLCOCRG-AATRIKPKSA-N,CC/C=C/CC,trans-3-Hexene,298.15,2.000,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p28:011,28,four_figures,67,pubchem,false,0.000000
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,n-Hexane,293.15,1.890,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p29:007,29,four_figures,68,pubchem,false,0.000000
RWNKSTSCBHKHTB-UHFFFAOYSA-N,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,"Hexachloro-1,3-butadiene",298.15,2.55,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p19:009,19,three_figures,69,pubchem,false,0.000000
FYOFOKCECDGJBF-UHFFFAOYSA-N,[C]=O.[C]=O.[C]=O.[C]=O.[C]=O.[Fe],Iron pentacarbonyl,293.15,2.60,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p22:016,22,three_figures,70,pubchem,false,0.000000
CYTYCFOTNPOANT-UHFFFAOYSA-N,ClC(Cl)=C(Cl)Cl,Tetrachloroethylene,298.15,2.30,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p14:003,14,three_figures,71,pubchem,false,0.000000
UQEAIHBTYFGYIE-UHFFFAOYSA-N,C[Si](C)(C)O[Si](C)(C)C,Hexamethyldisiloxane,293.15,2.17,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p29:016,29,three_figures,72,pubchem,false,0.000000
GETTZEONDQJALK-UHFFFAOYSA-N,FC(F)(F)c1ccccc1,"alpha,alpha,alpha-Trifluorotoluene",303.15,9.18,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p30:003,30,three_figures,73,pubchem,false,0.000000
KFUSEUYYWQURPO-UPHRSURJSA-N,Cl/C=C\Cl,"cis-1,2-Dichloroethylene",298.15,9.20,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p14:017,14,three_figures,74,pubchem,false,0.000000
KFUSEUYYWQURPO-OWOJBTEDSA-N,Cl/C=C/Cl,"trans-1,2-Dichloroethylene",298.15,2.14,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p14:018,14,three_figures,75,pubchem,false,0.000000
PIICEJLVQHRZGT-UHFFFAOYSA-N,NCCN,"1,2-Ethanediamine",293.15,14.2,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p16:019,16,three_figures,76,pubchem,false,0.000000
HBNYJWAFDZLWRS-UHFFFAOYSA-N,CCN=C=S,Ethyl isothiocyanate,294.15,19.5,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p17:017,17,three_figures,77,pubchem,false,0.000000
QBELEDRHMPMKHP-UHFFFAOYSA-N,Clc1ccccc1Br,1-Bromo-2-chlorobenzene,293.15,6.80,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:007,25,three_figures,78,pubchem,false,0.000000
JRGGUPZKKTVKOV-UHFFFAOYSA-N,Clc1cccc(Br)c1,1-Bromo-3-chlorobenzene,293.15,4.58,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:008,25,three_figures,79,pubchem,false,0.000000
WQONPSCCEXUXTQ-UHFFFAOYSA-N,Brc1ccccc1Br,o-Dibromobenzene,293.15,7.35,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:009,25,three_figures,80,pubchem,false,0.000000
